instant,dateday,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,count,windspeed_category
24,2011-01-01,Spring,2011,January,23,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,18.86,22.725,88.0,19.999499999999998,15,24,39,Medium Wind
25,2011-01-02,Spring,2011,January,0,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,18.86,22.725,88.0,19.999499999999998,4,13,17,Medium Wind
26,2011-01-02,Spring,2011,January,1,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,18.04,21.97,94.0,16.997899999999998,1,16,17,Medium Wind
27,2011-01-02,Spring,2011,January,2,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,17.22,21.21,100.0,19.0012,1,8,9,Medium Wind
28,2011-01-02,Spring,2011,January,3,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,18.86,22.725,94.0,12.998000000000001,2,4,6,Low Wind
29,2011-01-02,Spring,2011,January,4,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,18.86,22.725,94.0,12.998000000000001,2,1,3,Low Wind
30,2011-01-02,Spring,2011,January,6,Non-Holiday,Sunday,Weekend/Holiday,Light Precipitation,17.22,21.21,77.0,19.999499999999998,0,2,2,Medium Wind
31,2011-01-02,Spring,2011,January,7,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Low Wind
32,2011-01-02,Spring,2011,January,8,Non-Holiday,Sunday,Weekend/Holiday,Light Precipitation,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Medium Wind
33,2011-01-02,Spring,2011,January,9,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,15.58,19.695,76.0,15.001299999999999,1,19,20,Medium Wind
34,2011-01-02,Spring,2011,January,10,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Medium Wind
35,2011-01-02,Spring,2011,January,11,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,16.665,71.0,16.997899999999998,16,54,70,Medium Wind
36,2011-01-02,Spring,2011,January,12,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,16.665,66.0,19.999499999999998,20,73,93,Medium Wind
37,2011-01-02,Spring,2011,January,13,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,17.424999999999997,66.0,8.9981,11,64,75,Low Wind
38,2011-01-02,Spring,2011,January,14,Non-Holiday,Sunday,Weekend/Holiday,Light Precipitation,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Low Wind
39,2011-01-02,Spring,2011,January,15,Non-Holiday,Sunday,Weekend/Holiday,Light Precipitation,13.940000000000001,16.665,81.0,11.0014,19,55,74,Low Wind
40,2011-01-02,Spring,2011,January,16,Non-Holiday,Sunday,Weekend/Holiday,Light Precipitation,13.940000000000001,16.665,71.0,11.0014,9,67,76,Low Wind
41,2011-01-02,Spring,2011,January,17,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Low Wind
42,2011-01-02,Spring,2011,January,18,Non-Holiday,Sunday,Weekend/Holiday,Misty/Cloudy,14.76,16.665,46.0,22.0028,10,43,53,Medium Wind
43,2011-01-02,Spring,2011,January,19,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,High Wind
44,2011-01-02,Spring,2011,January,20,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,12.299999999999999,13.635,39.0,23.9994,5,17,22,Medium Wind
45,2011-01-02,Spring,2011,January,21,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,10.66,11.365,44.0,22.0028,11,20,31,Medium Wind
46,2011-01-02,Spring,2011,January,22,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.84,10.605,44.0,19.999499999999998,0,9,9,Medium Wind
47,2011-01-02,Spring,2011,January,23,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.02,11.365,47.0,11.0014,0,8,8,Low Wind
48,2011-01-03,Spring,2011,January,0,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.02,9.85,44.0,23.9994,0,5,5,Medium Wind
49,2011-01-03,Spring,2011,January,1,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Medium Wind
50,2011-01-03,Spring,2011,January,4,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Medium Wind
51,2011-01-03,Spring,2011,January,5,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Medium Wind
52,2011-01-03,Spring,2011,January,6,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,5.74,5.305,50.0,26.0027,0,30,30,Medium Wind
53,2011-01-03,Spring,2011,January,7,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Low Wind
54,2011-01-03,Spring,2011,January,8,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Medium Wind
55,2011-01-03,Spring,2011,January,9,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Medium Wind
56,2011-01-03,Spring,2011,January,10,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Medium Wind
57,2011-01-03,Spring,2011,January,11,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,8.200000000000001,9.09,40.0,22.0028,10,41,51,Medium Wind
58,2011-01-03,Spring,2011,January,12,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.02,10.605,35.0,19.999499999999998,13,48,61,Medium Wind
59,2011-01-03,Spring,2011,January,13,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.84,10.605,35.0,19.0012,8,53,61,Medium Wind
60,2011-01-03,Spring,2011,January,14,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,10.66,12.120000000000001,30.0,19.0012,11,66,77,Medium Wind
61,2011-01-03,Spring,2011,January,15,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Medium Wind
62,2011-01-03,Spring,2011,January,16,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Medium Wind
63,2011-01-03,Spring,2011,January,17,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.84,11.365,30.0,15.001299999999999,11,146,157,Medium Wind
64,2011-01-03,Spring,2011,January,18,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.84,12.879999999999999,32.0,7.0015,9,148,157,Low Wind
65,2011-01-03,Spring,2011,January,19,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,
66,2011-01-03,Spring,2011,January,20,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,8.200000000000001,11.365,47.0,7.0015,3,49,52,Low Wind
67,2011-01-03,Spring,2011,January,21,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,7.38,9.85,64.0,8.9981,3,49,52,Low Wind
68,2011-01-03,Spring,2011,January,22,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,5.74,7.575,69.0,8.9981,0,20,20,Low Wind
69,2011-01-03,Spring,2011,January,23,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,7.38,10.605,55.00000000000001,7.0015,1,11,12,Low Wind
70,2011-01-04,Spring,2011,January,0,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Low Wind
71,2011-01-04,Spring,2011,January,1,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Low Wind
72,2011-01-04,Spring,2011,January,2,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,5.74,7.575,63.0,8.9981,0,1,1,Low Wind
73,2011-01-04,Spring,2011,January,4,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,5.74,9.09,63.0,6.0032,0,2,2,Low Wind
74,2011-01-04,Spring,2011,January,5,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,4.92,7.575,68.0,7.0015,0,4,4,Low Wind
75,2011-01-04,Spring,2011,January,6,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,4.92,7.575,74.0,7.0015,0,36,36,Low Wind
76,2011-01-04,Spring,2011,January,7,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,4.92,7.575,74.0,8.9981,2,92,94,Low Wind
77,2011-01-04,Spring,2011,January,8,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,5.74,7.575,69.0,11.0014,2,177,179,Low Wind
78,2011-01-04,Spring,2011,January,9,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Medium Wind
79,2011-01-04,Spring,2011,January,10,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Medium Wind
80,2011-01-04,Spring,2011,January,11,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,9.02,10.605,51.0,19.999499999999998,7,50,57,Medium Wind
81,2011-01-04,Spring,2011,January,12,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,9.02,11.365,51.0,11.0014,12,66,78,Low Wind
82,2011-01-04,Spring,2011,January,13,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Low Wind
83,2011-01-04,Spring,2011,January,14,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Medium Wind
84,2011-01-04,Spring,2011,January,15,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,11.48,13.635,52.0,16.997899999999998,17,48,65,Medium Wind
85,2011-01-04,Spring,2011,January,16,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Medium Wind
86,2011-01-04,Spring,2011,January,17,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,11.48,13.635,48.0,15.001299999999999,10,202,212,Medium Wind
87,2011-01-04,Spring,2011,January,18,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Low Wind
88,2011-01-04,Spring,2011,January,19,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,9.84,12.879999999999999,48.0,7.0015,2,110,112,Low Wind
89,2011-01-04,Spring,2011,January,20,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,9.84,12.879999999999999,48.0,7.0015,1,53,54,Low Wind
90,2011-01-04,Spring,2011,January,21,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,9.02,13.635,64.0,0.0,0,48,48,
91,2011-01-04,Spring,2011,January,22,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,9.02,12.879999999999999,64.0,6.0032,1,34,35,Low Wind
92,2011-01-04,Spring,2011,January,23,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,8.200000000000001,11.365,69.0,6.0032,2,9,11,Low Wind
93,2011-01-05,Spring,2011,January,0,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,
94,2011-01-05,Spring,2011,January,1,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Low Wind
95,2011-01-05,Spring,2011,January,2,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Low Wind
96,2011-01-05,Spring,2011,January,4,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,9.84,11.365,48.0,15.001299999999999,0,2,2,Medium Wind
97,2011-01-05,Spring,2011,January,5,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,9.02,11.365,47.0,11.0014,0,3,3,Low Wind
98,2011-01-05,Spring,2011,January,6,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Medium Wind
99,2011-01-05,Spring,2011,January,7,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,7.38,9.09,43.0,12.998000000000001,1,87,88,Low Wind
100,2011-01-05,Spring,2011,January,8,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Medium Wind
101,2011-01-05,Spring,2011,January,9,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,9.02,9.85,37.0,22.0028,6,109,115,Medium Wind
102,2011-01-05,Spring,2011,January,10,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,9.02,9.85,37.0,22.0028,4,53,57,Medium Wind
103,2011-01-05,Spring,2011,January,11,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,10.66,11.365,33.0,22.0028,12,34,46,Medium Wind
104,2011-01-05,Spring,2011,January,12,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,10.66,11.365,33.0,22.0028,5,74,79,Medium Wind
105,2011-01-05,Spring,2011,January,13,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Medium Wind
106,2011-01-05,Spring,2011,January,14,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Low Wind
107,2011-01-05,Spring,2011,January,15,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Low Wind
108,2011-01-05,Spring,2011,January,16,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Low Wind
109,2011-01-05,Spring,2011,January,17,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,9.84,11.365,38.0,12.998000000000001,4,186,190,Low Wind
110,2011-01-05,Spring,2011,January,18,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,9.84,12.120000000000001,38.0,8.9981,3,166,169,Low Wind
111,2011-01-05,Spring,2011,January,19,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,9.84,12.879999999999999,38.0,7.0015,5,127,132,Low Wind
112,2011-01-05,Spring,2011,January,20,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,9.02,11.365,47.0,11.0014,7,82,89,Low Wind
113,2011-01-05,Spring,2011,January,21,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Low Wind
114,2011-01-05,Spring,2011,January,22,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,7.38,9.85,55.00000000000001,8.9981,1,41,42,Low Wind
115,2011-01-05,Spring,2011,January,23,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,
116,2011-01-06,Spring,2011,January,0,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,
117,2011-01-06,Spring,2011,January,1,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,6.5600000000000005,11.365,64.0,0.0,0,4,4,
118,2011-01-06,Spring,2011,January,2,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,6.5600000000000005,11.365,64.0,0.0,0,2,2,
119,2011-01-06,Spring,2011,January,4,Non-Holiday,Thursday,Working Day,Misty/Cloudy,6.5600000000000005,9.85,64.0,6.0032,0,1,1,Low Wind
120,2011-01-06,Spring,2011,January,5,Non-Holiday,Thursday,Working Day,Misty/Cloudy,5.74,9.09,69.0,6.0032,0,4,4,Low Wind
121,2011-01-06,Spring,2011,January,6,Non-Holiday,Thursday,Working Day,Misty/Cloudy,5.74,8.334999999999999,63.0,7.0015,0,36,36,Low Wind
122,2011-01-06,Spring,2011,January,7,Non-Holiday,Thursday,Working Day,Misty/Cloudy,6.5600000000000005,11.365,59.0,0.0,0,95,95,
123,2011-01-06,Spring,2011,January,8,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,6.5600000000000005,11.365,59.0,0.0,3,216,219,
124,2011-01-06,Spring,2011,January,9,Non-Holiday,Thursday,Working Day,Misty/Cloudy,7.38,12.120000000000001,51.0,0.0,6,116,122,
125,2011-01-06,Spring,2011,January,10,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,
126,2011-01-06,Spring,2011,January,11,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,9.02,12.879999999999999,44.0,6.0032,2,57,59,Low Wind
127,2011-01-06,Spring,2011,January,12,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,10.66,14.395,35.0,0.0,6,78,84,
128,2011-01-06,Spring,2011,January,13,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,10.66,13.635,35.0,7.0015,12,55,67,Low Wind
129,2011-01-06,Spring,2011,January,14,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,11.48,13.635,36.0,11.0014,11,59,70,Low Wind
130,2011-01-06,Spring,2011,January,15,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,11.48,13.635,36.0,0.0,8,54,62,
131,2011-01-06,Spring,2011,January,16,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,10.66,12.879999999999999,38.0,11.0014,12,74,86,Low Wind
132,2011-01-06,Spring,2011,January,17,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,9.02,11.365,51.0,11.0014,9,163,172,Low Wind
133,2011-01-06,Spring,2011,January,18,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,9.02,11.365,51.0,8.9981,5,158,163,Low Wind
134,2011-01-06,Spring,2011,January,19,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Low Wind
135,2011-01-06,Spring,2011,January,20,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,8.200000000000001,10.605,51.0,11.0014,3,66,69,Low Wind
136,2011-01-06,Spring,2011,January,21,Non-Holiday,Thursday,Working Day,Misty/Cloudy,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Medium Wind
137,2011-01-06,Spring,2011,January,22,Non-Holiday,Thursday,Working Day,Misty/Cloudy,9.02,10.605,51.0,19.0012,1,51,52,Medium Wind
138,2011-01-06,Spring,2011,January,23,Non-Holiday,Thursday,Working Day,Misty/Cloudy,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Low Wind
139,2011-01-07,Spring,2011,January,0,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Low Wind
140,2011-01-07,Spring,2011,January,1,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Medium Wind
141,2011-01-07,Spring,2011,January,2,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Medium Wind
142,2011-01-07,Spring,2011,January,4,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,10.605,69.0,8.9981,0,1,1,Low Wind
143,2011-01-07,Spring,2011,January,5,Non-Holiday,Friday,Working Day,Light Precipitation,9.02,13.635,55.00000000000001,0.0,0,5,5,
144,2011-01-07,Spring,2011,January,6,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,
145,2011-01-07,Spring,2011,January,7,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,8.200000000000001,10.605,69.0,8.9981,8,76,84,Low Wind
146,2011-01-07,Spring,2011,January,8,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,Medium Wind
147,2011-01-07,Spring,2011,January,9,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Medium Wind
148,2011-01-07,Spring,2011,January,10,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,9.02,9.85,37.0,22.0028,16,47,63,Medium Wind
149,2011-01-07,Spring,2011,January,11,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Medium Wind
150,2011-01-07,Spring,2011,January,12,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Medium Wind
151,2011-01-07,Spring,2011,January,13,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,9.09,37.0,19.0012,9,64,73,Medium Wind
152,2011-01-07,Spring,2011,January,14,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Medium Wind
153,2011-01-07,Spring,2011,January,15,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,10.605,37.0,11.0014,9,63,72,Low Wind
154,2011-01-07,Spring,2011,January,16,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,10.605,37.0,11.0014,5,82,87,Low Wind
155,2011-01-07,Spring,2011,January,17,Non-Holiday,Friday,Working Day,Misty/Cloudy,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,
156,2011-01-07,Spring,2011,January,18,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,8.200000000000001,11.365,40.0,6.0032,7,116,123,Low Wind
157,2011-01-07,Spring,2011,January,19,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Low Wind
158,2011-01-07,Spring,2011,January,20,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,7.38,10.605,47.0,7.0015,1,50,51,Low Wind
159,2011-01-07,Spring,2011,January,21,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,7.38,9.85,47.0,8.9981,0,39,39,Low Wind
160,2011-01-07,Spring,2011,January,22,Non-Holiday,Friday,Working Day,Misty/Cloudy,7.38,9.85,43.0,11.0014,2,34,36,Low Wind
161,2011-01-07,Spring,2011,January,23,Non-Holiday,Friday,Working Day,Misty/Cloudy,7.38,9.85,51.0,11.0014,1,14,15,Low Wind
162,2011-01-08,Spring,2011,January,0,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,7.38,9.85,51.0,11.0014,1,24,25,Low Wind
163,2011-01-08,Spring,2011,January,1,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,7.38,10.605,55.00000000000001,6.0032,1,15,16,Low Wind
164,2011-01-08,Spring,2011,January,2,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,
165,2011-01-08,Spring,2011,January,3,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,7.38,9.85,55.00000000000001,11.0014,0,7,7,Low Wind
